CodigoParlamentar,CodigoPublicoNaLegAtual,NomeParlamentar,NomeCompletoParlamentar,SexoParlamentar,FormaTratamento,UrlFotoParlamentar,UrlPaginaParlamentar,EmailParlamentar,SiglaPartidoParlamentar,UfParlamentar,MembroMesa,MembroLideranca,NumeroTelefone,OrdemPublicacao,IndicadorFax,CodigoBloco,NomeBloco,NomeApelido,DataCriacao,CodigoMandato,UfParlamentar.1,DescricaoParticipacao,NumeroLegislatura,DataInicio,DataFim,NumeroLegislatura.1,DataInicio.1,DataFim.1,DescricaoParticipacao.1,CodigoParlamentar.1,NomeParlamentar.1,CodigoExercicio,DataInicio.2,DescricaoParticipacao.2,CodigoParlamentar.2,NomeParlamentar.2,DataFim.2,SiglaCausaAfastamento,DescricaoCausaAfastamento,UrlPaginaParticular,DataLeitura
5924,857,Oriovisto Guimarães,Oriovisto Guimaraes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5924.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5924,sen.oriovistoguimaraes@senado.leg.br,PODEMOS,PR,Não,Não,33031635.0,1.0,Não,353.0,Bloco Parlamentar Independência,BLIND,2024-04-09,541.0,PR,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5921.0,Paulo Salamuni,2928.0,2019-02-01,,,,,,,http://www.oriovistoguimaraes.com.br/,
5926,905,Lucas Barreto,Luiz Cantuária Barreto,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5926.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5926,sen.lucasbarreto@senado.leg.br,PSD,AP,Não,Sim,33034851.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,543.0,AP,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5927.0,Paulo Albuquerque,2955.0,2020-04-20,,,,2019-12-16,LS ,Licença saúde,,2019-12-17
5936,949,Carlos Portinho,Carlos Francisco Portinho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936,sen.carlosportinho@senado.leg.br,PL,RJ,Não,Sim,33036640.0,1.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,545.0,RJ,1º Suplente,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,2º Suplente,5934.0,Renata Guerra,2959.0,2020-11-03,Titular,751.0,Arolde de Oliveira,,,,https://carlosportinho.com.br/,
5942,862,Marcos do Val,Marcos Ribeiro do Val,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5942,sen.marcosdoval@senado.leg.br,PODEMOS,ES,Não,Sim,33036747.0,1.0,Não,353.0,Bloco Parlamentar Independência,BLIND,2024-04-09,547.0,ES,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5944.0,Rosana Foerst,2925.0,2019-02-01,,,,,,,,
5953,835,Fabiano Contarato,Fabiano Contarato,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5953,sen.fabianocontarato@senado.leg.br,PT,ES,Não,Não,33039054.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,548.0,ES,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5950.0,Ana Paula Tongo,2902.0,2019-02-01,,,,,,,,
5959,817,Styvenson Valentim,Eann Styvenson Valentim Mendes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5959.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5959,sen.styvensonvalentim@senado.leg.br,PODEMOS,RN,Sim,Sim,33031148.0,2.0,Não,353.0,Bloco Parlamentar Independência,BLIND,2024-04-09,550.0,RN,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5962.0,Alisson Taveira,2899.0,2019-02-01,,,,,,,,
5967,832,Angelo Coronel,Angelo Mario Coronel de Azevedo Martins,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967,sen.angelocoronel@senado.leg.br,PSD,BA,Não,Não,33036103.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,554.0,BA,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5837.0,Davidson Magalhães,2889.0,2019-02-01,,,,,,,,
5973,825,Cid Gomes,Cid Ferreira Gomes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973,sen.cidgomes@senado.leg.br,PSB,CE,Não,Não,33036460.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,556.0,CE,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5971.0,Prisco Bezerra,3006.0,2023-01-04,,,,2022-09-05,LCS,Licença com convocação de suplente (sup 120 dias),https://cidgomes.com.br/,
5976,826,Eduardo Girão,Luis Eduardo Grangeiro Girão,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976,sen.eduardogirao@senado.leg.br,NOVO,CE,Não,Sim,33036677.0,1.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,557.0,CE,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5974.0,Sargento Reginaldo,2920.0,2019-02-01,,,,,,,,
5979,853,Leila Barros,Leila Gomes de Barros Rêgo,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979,sen.leilabarros@senado.leg.br,PDT,DF,Não,Sim,33036427.0,2.0,Não,353.0,Bloco Parlamentar Independência,BLIND,2024-04-09,558.0,DF,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5977.0,Leany Lemos,2918.0,2019-02-01,,,,,,,https://www.leiladovolei.com.br/,
5982,829,Alessandro Vieira,Alessandro Vieira,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982,sen.alessandrovieira@senado.leg.br,MDB,SE,Não,Não,33039011.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,559.0,SE,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5980.0,Fernando Carvalho,2888.0,2019-02-01,,,,,,,,
5985,858,Nelsinho Trad,Nelson Trad Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5985,sen.nelsinhotrad@senado.leg.br,PSD,MS,Não,Não,33036767.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,560.0,MS,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5983.0,José Chagas,2927.0,2019-02-01,,,,,,,https://www.nelsinhotrad.com.br/,
5988,854,Soraya Thronicke,Soraya Vieira Thronicke,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5988.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5988,sen.sorayathronicke@senado.leg.br,PODEMOS,MS,Não,Sim,33031775.0,1.0,Não,353.0,Bloco Parlamentar Independência,BLIND,2024-04-09,561.0,MS,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5986.0,Rodolfo Nogueira,2937.0,2019-02-01,,,,,,,,
5990,843,Carlos Viana,Carlos Alberto Dias Viana,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990,sen.carlosviana@senado.leg.br,PODEMOS,MG,Não,Não,33033100.0,1.0,Não,353.0,Bloco Parlamentar Independência,BLIND,2024-04-09,563.0,MG,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5991.0,Castellar Guimarães Neto,2892.0,2019-02-01,,,,,,,,
5998,820,Daniella Ribeiro,Daniella Velloso Borges Ribeiro,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5998,sen.daniellaribeiro@senado.leg.br,PSD,PB,Não,Sim,33036788.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,565.0,PB,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5996.0,Diego Tavares,2964.0,2021-01-22,,,,2020-09-23,LP ,Licença Particular,,
6008,935,Giordano,Alexandre Luiz Giordano,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6008,sen.giordano@senado.leg.br,MDB,SP,Não,Sim,33034177.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,570.0,SP,1º Suplente,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,,,,2966.0,2021-03-31,Titular,5666.0,Major Olimpio,,,,,
6009,902,Astronauta Marcos Pontes,Marcos Cesar Pontes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009,sen.astronautamarcospontes@senado.leg.br,PL,SP,Não,Sim,33031177.0,1.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,617.0,SP,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6385.0,Professor Alberto,3017.0,2023-02-01,,,,,,,,
6010,914,Ivete da Silveira,Ivete Marli Appel da Silveira,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6010.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6010,sen.ivetedasilveira@senado.leg.br,MDB,SC,Sim,Não,33032200.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,571.0,SC,1º Suplente,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,2º Suplente,6011.0,Beto Martins,3003.0,2022-12-30,Titular,5350.0,Jorginho Mello,2022-12-20,RET,Retorno do titular,,
6015,950,Ireneu Orth,Ireneu Orth,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6015.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6015,sen.ireneuorth@senado.leg.br,PP,RS,Não,Não,33034124.0,1.0,Não,346.0,Bloco Parlamentar Aliança,BLALIANÇA,2023-03-20,574.0,RS,1º Suplente,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,2º Suplente,6016.0,Drica de Lucena,3060.0,2024-04-10,Titular,1186.0,Luis Carlos Heinze,,,,,
6027,881,Mecias de Jesus,Antônio Mecias Pereira de Jesus,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6027,sen.meciasdejesus@senado.leg.br,REPUBLICANOS,RR,Sim,Sim,33035291.0,1.0,Não,346.0,Bloco Parlamentar Aliança,BLALIANÇA,2023-03-20,578.0,RR,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,6025.0,Enfermeira Roberta,2890.0,2019-02-01,,,,,,,,
6304,910,Margareth Buzetti,Margareth Gettert Busetti,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6304.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6304,sen.margarethbuzetti@senado.leg.br,PSD,MT,Não,Não,33036408.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,592.0,MT,1º Suplente,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,2º Suplente,6305.0,José Esteves de Lacerda Filho,3055.0,2023-12-21,Titular,6295.0,Carlos Fávaro,2023-12-12,RET,Retorno do titular,,
6331,886,Sergio Moro,Sergio Fernando Moro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6331.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6331,sen.sergiomoro@senado.leg.br,UNIÃO,PR,Não,Não,33036202.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,608.0,PR,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6370.0,Luis Felipe Cunha,3015.0,2023-02-01,,,,,,,,
6335,866,Damares Alves,Damares Regina Alves,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6335.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6335,sen.damaresalves@senado.leg.br,REPUBLICANOS,DF,Não,Sim,33033265.0,1.0,Não,346.0,Bloco Parlamentar Aliança,BLALIANÇA,2023-03-20,599.0,DF,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6352.0,Manoel Arruda,3018.0,2023-02-01,,,,,,,,
6337,873,Cleitinho,Cleiton Gontijo de Azevedo,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6337.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6337,sen.cleitinho@senado.leg.br,REPUBLICANOS,MG,Não,Não,33033811.0,1.0,Não,346.0,Bloco Parlamentar Aliança,BLALIANÇA,2023-03-20,603.0,MG,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6360.0,Alex Diniz,3034.0,2023-02-01,,,,,,,,
6338,879,Teresa Leitão,Maria Teresa Leitão de Melo,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6338.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6338,sen.teresaleitao@senado.leg.br,PT,PE,Não,Sim,33032423.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,606.0,PE,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,4768.0,Silvio Costa,3019.0,2023-02-01,,,,,,,,
6340,891,Jaime Bagattoli,Jaime Maximino Bagattoli,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6340.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6340,sen.jaimebagattoli@senado.leg.br,PL,RO,Não,Sim,33032714.0,1.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,610.0,RO,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,5617.0,Pastor Valadares,3026.0,2023-02-01,,,,,,,,
6341,894,Hamilton Mourão,Antonio Hamilton Martins Mourão,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6341.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6341,sen.hamiltonmourao@senado.leg.br,REPUBLICANOS,RS,Não,Sim,33031837.0,1.0,Não,346.0,Bloco Parlamentar Aliança,BLALIANÇA,2023-03-20,612.0,RS,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6112.0,Liziane Bayer,3033.0,2023-02-01,,,,,,,,
6342,897,Jorge Seif,Jorge Seif Júnior,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6342.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6342,sen.jorgeseif@senado.leg.br,PL,SC,Não,Sim,33033784.0,1.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,613.0,SC,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6381.0,Hermes Klann,3024.0,2023-02-01,,,,,,,,
6345,929,Fernando Farias,Fernando Lopes de Farias,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6345,sen.fernandofarias@senado.leg.br,MDB,AL,Não,Não,33036266.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,597.0,AL,1º Suplente,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,2º Suplente,6346.0,Adélia Maria,3054.0,2023-12-21,Titular,5207.0,Renan Filho,2023-12-12,RET,Retorno do titular,,
6351,934,Janaína Farias,Janaina Carla Farias,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6351.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6351,sen.janainafarias@senado.leg.br,PT,CE,Não,Não,33035940.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,598.0,CE,2º Suplente,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6350.0,Augusta Brito,3059.0,2024-04-02,Titular,6336.0,Camilo Santana,,,,,
6358,920,Ana Paula Lobato,Ana Paula Dias Lobato Nova Alves,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6358,sen.anapaulalobato@senado.leg.br,PDT,MA,Não,Sim,33032967.0,1.0,Não,353.0,Bloco Parlamentar Independência,BLIND,2024-04-09,602.0,MA,1º Suplente,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,2º Suplente,6359.0,Lourdinha,3057.0,2024-02-21,Titular,4605.0,Flávio Dino,2024-01-31,RET,Retorno do titular,,
6363,940,Rosana Martinelli,Rosana Tereza Martinelli,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6363.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6363,sen.rosanamartinelli@senado.leg.br,PL,MT,Não,Não,33036219.0,1.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,621.0,MT,2º Suplente,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6362.0,Mauro Carvalho Junior,3061.0,2024-06-12,Titular,1173.0,Wellington Fagundes,,,,,
6366,939,André Amaral,Andre Augusto Castro do Amaral,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6366.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6366,sen.andreamaral@senado.leg.br,UNIÃO,PB,Não,Não,33035934.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,605.0,PB,1º Suplente,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,2º Suplente,6367.0,Erik Marinho,3063.0,2024-06-20,Titular,4642.0,Efraim Filho,,,,,
6369,931,Jussara Lima,Antônia Jussara Gomes Alves Sousa Lima,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6369.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6369,sen.jussaralima@senado.leg.br,PSD,PI,Não,Não,33035800.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,607.0,PI,1º Suplente,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,2º Suplente,5849.0,José Amauri,3053.0,2023-12-14,Titular,5016.0,Wellington Dias,2023-12-12,RET,Retorno do titular,,
6374,938,Flavio Azevedo,Flávio José Cavalcanti de Azevedo,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6374.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6374,sen.flavioazevedo@senado.leg.br,PL,RN,Não,Não,33031826.0,2.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,616.0,RN,1º Suplente,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,2º Suplente,6375.0,Igor Targino,3062.0,2024-06-19,Titular,4694.0,Rogerio Marinho,,,,,
